iter	Passed	Remaining
531	93864	11997
532	94047	11822
533	94230	11646
534	94416	11471
535	94599	11295
536	94784	11119
537	94969	10944
538	95178	10771
539	95383	10598
540	95594	10425
541	95789	10250
542	95989	10076
543	96186	9901
544	96378	9726
545	96561	9550
546	96743	9373
547	96921	9196
548	97104	9020
549	97280	8843
550	97461	8667
551	97635	8490
552	97827	8314
553	98004	8137
554	98187	7961
555	98365	7784
556	98547	7607
557	98732	7431
558	98923	7255
559	99102	7078
560	99287	6902
561	99469	6725
562	99651	6549
563	99828	6372
564	100010	6195
565	100192	6018
566	100373	5841
567	100552	5664
568	100742	5488
569	100920	5311
570	101104	5134
571	101281	4957
572	101463	4781
573	101646	4604
574	101829	4427
575	102007	4250
576	102187	4073
577	102364	3896
578	102544	3719
579	102722	3542
580	102902	3365
581	103077	3187
582	103263	3011
583	103442	2834
584	103623	2657
585	103799	2479
586	103977	2302
587	104157	2125
588	104343	1948
589	104532	1771
590	104717	1594
591	104895	1417
592	105078	1240
593	105258	1063
594	105440	886
595	105623	708
596	105812	531
597	105990	354
598	106170	177
599	106349	0
